Date;Libellé;Crédit;Débit
01/07/2026;REMISE CHEQUE A ENC 47265658;15000;0
02/07/2026;VIREMENT RECU DE STE STE BLUE BAG S;5000;0
01/07/2026;REMISE CHEQUE A ENC 47241469;4000;0
01/07/2026;REMISE CHEQUE A ENC 47241442;7644;0
01/07/2026;PRELEVEMENT EN FAV. DGI;0;787
01/07/2026;PRELEVEMENT EN FAV. DGI;0;392
01/07/2026;PRELEVEMENT EN FAV. DGI;0;1554
01/07/2026;PRELEVEMENT EN FAV. DGI;0;364
01/07/2026;PRELEVEMENT EN FAV. DGI;0;730
01/07/2026;PRELEVEMENT EN FAV. DGI;0;182
01/07/2026;COMMISSION PRELEVEMENT DGI;0;99
02/07/2026;REMISE CHEQUE A ENC 47265658;161618;0
02/07/2026;CHEQUE CONF IMPAYE N 0000013;0;13388
02/07/2026;COM. SUR CHEQUES IMP ENC;0;38.5
02/07/2026;ENCAISSEMENT DE 1 LCN;27107.8;0
02/07/2026;PAIEMENT CHEQUE N 0135099;0;6060.58
06/07/2026;REMISE CHEQUE A ENC 47290610;151146.55;0
06/07/2026;TIMBRE/REM LCN REF 1875272;0;20
07/07/2026;VERSEMENT ESPECE DEPLACE AYOUB MALL;27800;0
07/07/2026;VERSEMENT ESPECE DEPLACE;2000;0
07/07/2026;REMISE CHEQUE A ENC 47323153;1190;0
08/07/2026;ENCAISSEMENT DE 2 LCN;17800;0
08/07/2026;VERSEMENT ESPECE DEPLACE;5000;0
08/07/2026;REMISE CHEQUE A ENC 47323153;60000;0
08/07/2026;CHEQUE CONF IMPAYE N 1300014;0;10000
08/07/2026;CHEQUE CONF IMPAYE N 6108012;0;30000
08/07/2026;COM. SUR CHEQUES IMP ENC;0;66
08/07/2026;ENCAISSEMENT DE 2 LCN;19504;0
09/07/2026;REMISE CHEQUE A ENC 47349140;7750.8;0
09/07/2026;TITRE D IMPORT:LIC02580595;0;160
30/06/2026;COMMISSION ASSURANCE CARTE;0;3.04
30/06/2026;OPERATION AU DEBIT REF : RMAHALI;0;27.28
10/07/2026;REMISE CHEQUE A ENC 47349140;37000;0
13/07/2026;REMDOC IMPORT : IRD00488850/0375;0;520055.57
13/07/2026;TIMBRE/REM LCN REF 1876655;0;15
11/07/2026;PRELEVEMENT EN FAV. CNSS;0;9431.75
14/07/2026;VERSEMENT ESPECE DEPLACE;20000;0
14/07/2026;REMISE CHEQUE A ENC 47384750;1700;0
01/07/2026;ARRETE DU COMPTE 2E TRIM. 2026;0;113.84
14/07/2026;REMISE CHEQUE A ENC 47364580;4000;0
14/07/2026;TIMBRE/REM LCN REF 1877204;0;5
15/07/2026;REMISE CHEQUE A ENC 47384750;14650;0
15/07/2026;COM & FRAIS / 2 LCN PAYEES;0;66
15/07/2026;ENCAISSEMENT DE 2 LCN;42500;0
15/07/2026;PAIEMENT CHEQUE N 0135100;0;19500
17/07/2026;REMISE CHEQUE A ENC 47420319;32300;0
30/06/2026;OPERATION AU DEBIT REF : C.ENT;0;111.16
17/07/2026;FRAIS TIMBRE DU MOIS 0626;0;1
20/07/2026;VERSEMENT ESPECE DEPLACE;4800;0
20/07/2026;VERSEMENT ESPECE DEPLACE;5000;0
